,Operatore,Profilo,Velocità (down/up),Territorio,Periodo,Tipo,Media,Dev. Std.,Min,Max,TP%,Misure,Anno
0,BritishTelecom,"BTADSL7Mega,VipPremium,VipDuet,VipAssolo","
7,0Mbps832.0kbps
",Piemonte,"
Lug2014Dic2014
",Download,"6,1Mbps","49,3","6,0Mbps","6,1Mbps",,12232,2014
1,BritishTelecom,"BTADSL7Mega,VipPremium,VipDuet,VipAssolo","
7,0Mbps832.0kbps
",Piemonte,"
Lug2014Dic2014
",Ping,16ms,"1,6", ,"
17ms
",0%,6109,2014
2,BritishTelecom,"BTADSL7Mega,VipPremium,VipDuet,VipAssolo","
7,0Mbps832.0kbps
",Piemonte,"
Lug2014Dic2014
",Upload,702.0kbps,"14,6",702.0kbps,705.0kbps,,12191,2014
3,BritishTelecom,"VipClub7Mega,VipSmart7Mega,VipDuet,VipAssolo","
7,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Download,"5,9Mbps","58,5","5,8Mbps","6,0Mbps",,20757,2014
4,BritishTelecom,"VipClub7Mega,VipSmart7Mega,VipDuet,VipAssolo","
7,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Ping,23ms,"6,9", ,"
25ms
",0%,10356,2014
5,BritishTelecom,"VipClub7Mega,VipSmart7Mega,VipDuet,VipAssolo","
7,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Upload,214.0kbps,8,215.0kbps,216.0kbps,,20732,2014
6,Eolo,None,"
7,0Mbps384.0kbps
",Piemonte,"
Lug2014Dic2014
",Download,"6,1Mbps","863,5","4,5Mbps","6,8Mbps",,38621,2014
7,Eolo,None,"
7,0Mbps384.0kbps
",Piemonte,"
Lug2014Dic2014
",Ping,15ms,"2,8", ,"
19ms
",0%,19315,2014
8,Eolo,None,"
7,0Mbps384.0kbps
",Piemonte,"
Lug2014Dic2014
",Upload,382.0kbps,"44,7",376.0kbps,378.0kbps,,38633,2014
9,Eolo,Formula,"
7,0Mbps512.0kbps
",Piemonte,"
Lug2014Dic2014
",Download,"6,6Mbps","589,8","4,9Mbps","6,8Mbps",,42088,2014
10,Eolo,Formula,"
7,0Mbps512.0kbps
",Piemonte,"
Lug2014Dic2014
",Ping,13ms,"2,8", ,"
18ms
",0%,21042,2014
11,Eolo,Formula,"
7,0Mbps512.0kbps
",Piemonte,"
Lug2014Dic2014
",Upload,502.0kbps,"6,9",501.0kbps,503.0kbps,,42049,2014
12,Fastweb,"Superjet,Joy,Jet","
6,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Ping,0ms,0, ,"
ms
",0%,0,2014
13,Fastweb,"Superjet,Joy,Jet","
8,2Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Ping,0ms,0, ,"
ms
",0%,0,2014
14,Fastweb,"Superjet,Joy,Jet","
10,0Mbps10,2Mbps
",Piemonte,"
Lug2014Dic2014
",Download,"9,3Mbps","398,2","9,4Mbps","9,4Mbps",,36170,2014
15,Fastweb,"Superjet,Joy,Jet","
10,0Mbps10,2Mbps
",Piemonte,"
Lug2014Dic2014
",Ping,7ms,"2,5", ,"
10ms
",0%,18893,2014
16,Fastweb,"Superjet,Joy,Jet","
10,0Mbps10,2Mbps
",Piemonte,"
Lug2014Dic2014
",Upload,"9,2Mbps","119,6","9,1Mbps","9,4Mbps",,36022,2014
17,Fastweb,"Superjet,Joy,Jet","
12,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Download,"10,3Mbps","686,2","10,2Mbps","10,4Mbps",,21579,2014
18,Fastweb,"Superjet,Joy,Jet","
12,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Ping,11ms,"5,7", ,"
20ms
",0%,11318,2014
19,Fastweb,"Superjet,Joy,Jet","
12,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Upload,867.0kbps,"3,4",865.0kbps,869.0kbps,,21560,2014
20,Fastweb,"Superjet,Joy,Jet","
16,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Ping,0ms,0, ,"
ms
",0%,0,2014
21,Fastweb,"Superjet,Joy,Jet","
20,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Download,"16,0Mbps","1984,5","15,5Mbps","16,6Mbps",,30159,2014
22,Fastweb,"Superjet,Joy,Jet","
20,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Ping,30ms,"2,5", ,"
37ms
",0%,15494,2014
23,Fastweb,"Superjet,Joy,Jet","
20,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Upload,864.0kbps,"3,3",861.0kbps,865.0kbps,,30180,2014
24,TIM,TIMSuperADSL,"
7,0Mbps384.0kbps
",Piemonte,"
Lug2014Dic2014
",Download,"6,6Mbps","32,5","6,6Mbps","6,6Mbps",,42520,2014
25,TIM,TIMSuperADSL,"
7,0Mbps384.0kbps
",Piemonte,"
Lug2014Dic2014
",Ping,46ms,"2,9", ,"
46ms
",0%,21260,2014
26,TIM,TIMSuperADSL,"
7,0Mbps384.0kbps
",Piemonte,"
Lug2014Dic2014
",Upload,398.0kbps,"1,8",397.0kbps,398.0kbps,,42520,2014
27,TIM,TIMSuperADSL,"
10,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Download,"9,2Mbps","51,2","9,2Mbps","9,2Mbps",,42539,2014
28,TIM,TIMSuperADSL,"
10,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Ping,31ms,"3,3", ,"
31ms
",0%,21270,2014
29,TIM,TIMSuperADSL,"
10,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Upload,964.0kbps,"4,8",961.0kbps,968.0kbps,,42540,2014
30,Tiscali,TuttoIncluso,"
7,0Mbps384.0kbps
",Piemonte,"
Lug2014Dic2014
",Ping,0ms,0, ,"
ms
",0%,0,2014
31,Tiscali,TuttoIncluso,"
8,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Download,"7,0Mbps","51,4","6,9Mbps","7,0Mbps",,19093,2014
32,Tiscali,TuttoIncluso,"
8,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Ping,21ms,"57,7", ,"
20ms
",0%,9486,2014
33,Tiscali,TuttoIncluso,"
8,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Upload,426.0kbps,"7,5",414.0kbps,434.0kbps,,18992,2014
34,Tiscali,TuttoIncluso,"
20,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Download,"15,5Mbps",369,"14,8Mbps","15,9Mbps",,19427,2014
35,Tiscali,TuttoIncluso,"
20,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Ping,22ms,"1,1", ,"
24ms
",0%,9740,2014
36,Tiscali,TuttoIncluso,"
20,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Upload,860.0kbps,"12,3",837.0kbps,868.0kbps,,19471,2014
37,Vodafone,"SuperADSL
","
8,0Mbps640.0kbps
",Piemonte,"
Lug2014Dic2014
",Download,"7,7Mbps","171,2","7,7Mbps","7,7Mbps",,42973,2014
38,Vodafone,"SuperADSL
","
8,0Mbps640.0kbps
",Piemonte,"
Lug2014Dic2014
",Ping,40ms,"0,9", ,"
41ms
",0%,21489,2014
39,Vodafone,"SuperADSL
","
8,0Mbps640.0kbps
",Piemonte,"
Lug2014Dic2014
",Upload,510.0kbps,"1,9",508.0kbps,510.0kbps,,42694,2014
40,Wind,"WindHomeADSL,3ADSL,AbsoluteADSL,AllInclusive,AllInclusive","
8,0Mbps512.0kbps
",Piemonte,"
Lug2014Dic2014
",Download,"6,7Mbps","32,6","6,7Mbps","6,7Mbps",,35150,2014
41,Wind,"WindHomeADSL,3ADSL,AbsoluteADSL,AllInclusive,AllInclusive","
8,0Mbps512.0kbps
",Piemonte,"
Lug2014Dic2014
",Ping,14ms,2, ,"
17ms
",0%,17560,2014
42,Wind,"WindHomeADSL,3ADSL,AbsoluteADSL,AllInclusive,AllInclusive","
8,0Mbps512.0kbps
",Piemonte,"
Lug2014Dic2014
",Upload,399.0kbps,"29,6",368.0kbps,429.0kbps,,35140,2014
43,Wind,"WindHomeADSL,3ADSL,AbsoluteADSL,AllInclusive,AllInclusiveUnlimited,ADSL20MEGA","
20,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Download,"16,5Mbps","152,9","16,3Mbps","16,8Mbps",,29420,2014
44,Wind,"WindHomeADSL,3ADSL,AbsoluteADSL,AllInclusive,AllInclusiveUnlimited,ADSL20MEGA","
20,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Ping,12ms,"1,9", ,"
15ms
",0%,14708,2014
45,Wind,"WindHomeADSL,3ADSL,AbsoluteADSL,AllInclusive,AllInclusiveUnlimited,ADSL20MEGA","
20,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Upload,841.0kbps,"1,2",839.0kbps,842.0kbps,,29420,2014
46,BritishTelecom,"BTADSL7Mega,VipPremium,VipDuet,VipAssolo","
7,0Mbps832.0kbps
",Piemonte,"
Lug2015Dic2015
",Download,"6,1Mbps","49,6","6,0Mbps","6,1Mbps",,30464,2015
47,BritishTelecom,"BTADSL7Mega,VipPremium,VipDuet,VipAssolo","
7,0Mbps832.0kbps
",Piemonte,"
Lug2015Dic2015
",Ping,16ms,"1,8", ,"
16ms
",0%,15250,2015
48,BritishTelecom,"BTADSL7Mega,VipPremium,VipDuet,VipAssolo","
7,0Mbps832.0kbps
",Piemonte,"
Lug2015Dic2015
",Upload,672.0kbps,"111,1",328.0kbps,705.0kbps,,29658,2015
49,BritishTelecom,"VipClub7Mega,VipSmart7Mega,VipDuet,VipAssolo","
7,0Mbps1,0Mbps
",Piemonte,"
Lug2015Dic2015
",Download,"6,0Mbps",116,"5,9Mbps","6,0Mbps",,30975,2015
50,BritishTelecom,"VipClub7Mega,VipSmart7Mega,VipDuet,VipAssolo","
7,0Mbps1,0Mbps
",Piemonte,"
Lug2015Dic2015
",Ping,24ms,2, ,"
25ms
",0%,15489,2015
51,BritishTelecom,"VipClub7Mega,VipSmart7Mega,VipDuet,VipAssolo","
7,0Mbps1,0Mbps
",Piemonte,"
Lug2015Dic2015
",Upload,214.0kbps,"7,3",215.0kbps,216.0kbps,,30980,2015
52,Eolo,Formula,"
7,0Mbps512.0kbps
",Piemonte,"
Lug2015Dic2015
",Download,"6,4Mbps","958,6","4,0Mbps","6,9Mbps",,11778,2015
53,Eolo,Formula,"
7,0Mbps512.0kbps
",Piemonte,"
Lug2015Dic2015
",Ping,11ms,"1,5", ,"
13ms
",0%,5885,2015
54,Eolo,Formula,"
7,0Mbps512.0kbps
",Piemonte,"
Lug2015Dic2015
",Upload,501.0kbps,"3,5",499.0kbps,502.0kbps,,11780,2015
55,Eolo,Formula,"
20,0Mbps1,0Mbps
",Piemonte,"
Lug2015Dic2015
",Download,"6,7Mbps","934,4","4,5Mbps","7,3Mbps",,11879,2015
