,Operatore,Profilo,Velocità (down/up),Territorio,Periodo,Tipo,Media,Dev. Std.,Min,Max,TP%,Misure
0,Acantho,BigBand,"
7,0Mbps512.0kbps
",Nazionale,"
Gen2014Giu2014
",Download,"5,4Mbps","969,4","3,3Mbps","6,2Mbps",,43900
1,Acantho,BigBand,"
7,0Mbps512.0kbps
",Nazionale,"
Gen2014Giu2014
",Ping,53ms,"4,9", ,"
61ms
",0%,21946
2,Acantho,BigBand,"
7,0Mbps512.0kbps
",Nazionale,"
Gen2014Giu2014
",Upload,487.0kbps,"3,9",484.0kbps,488.0kbps,,43888
3,Acantho,BigBand,"
20,0Mbps1,0Mbps
",Nazionale,"
Gen2014Giu2014
",Download,"13,2Mbps","1398,1","10,5Mbps","15,0Mbps",,43860
4,Acantho,BigBand,"
20,0Mbps1,0Mbps
",Nazionale,"
Gen2014Giu2014
",Ping,33ms,"5,2", ,"
41ms
",0%,21920
5,Acantho,BigBand,"
20,0Mbps1,0Mbps
",Nazionale,"
Gen2014Giu2014
",Upload,498.0kbps,"2,4",497.0kbps,499.0kbps,,43855
6,Aruba,ADSL20Mb/384kb,"
20,0Mbps384.0kbps
",Nazionale,"
Gen2014Giu2014
",Download,"15,4Mbps",1744,"13,0Mbps","17,6Mbps",,107140
7,Aruba,ADSL20Mb/384kb,"
20,0Mbps384.0kbps
",Nazionale,"
Gen2014Giu2014
",Ping,17ms,"9,3", ,"
29ms
",0%,53560
8,Aruba,ADSL20Mb/384kb,"
20,0Mbps384.0kbps
",Nazionale,"
Gen2014Giu2014
",Upload,396.0kbps,11,369.0kbps,403.0kbps,,107140
9,Aruba,ADSL7Mb/384kb,"
7,0Mbps384.0kbps
",Nazionale,"
Gen2014Giu2014
",Download,"6,7Mbps","326,8","6,2Mbps","6,8Mbps",,108122
10,Aruba,ADSL7Mb/384kb,"
7,0Mbps384.0kbps
",Nazionale,"
Gen2014Giu2014
",Ping,15ms,"7,5", ,"
25ms
",0%,54050
11,Aruba,ADSL7Mb/384kb,"
7,0Mbps384.0kbps
",Nazionale,"
Gen2014Giu2014
",Upload,395.0kbps,"12,6",370.0kbps,402.0kbps,,108065
12,Brennercom,AllesKlar,"
8,0Mbps384.0kbps
",Nazionale,"
Gen2014Giu2014
",Download,"7,7Mbps",64,"7,7Mbps","7,7Mbps",,43840
13,Brennercom,AllesKlar,"
8,0Mbps384.0kbps
",Nazionale,"
Gen2014Giu2014
",Ping,32ms,"98,5", ,"
30ms
",0%,21920
14,Brennercom,AllesKlar,"
8,0Mbps384.0kbps
",Nazionale,"
Gen2014Giu2014
",Upload,360.0kbps,"6,3",344.0kbps,362.0kbps,,43840
15,Brennercom,AllesKlarLight,"
2,0Mbps256.0kbps
",Nazionale,"
Gen2014Giu2014
",Download,"1,9Mbps","17,2","1,9Mbps","2,0Mbps",,43880
16,Brennercom,AllesKlarLight,"
2,0Mbps256.0kbps
",Nazionale,"
Gen2014Giu2014
",Ping,19ms,"92,3", ,"
17ms
",0%,21940
17,Brennercom,AllesKlarLight,"
2,0Mbps256.0kbps
",Nazionale,"
Gen2014Giu2014
",Upload,360.0kbps,"8,9",338.0kbps,363.0kbps,,43880
18,BritishTelecom,"BTADSL7Mega,VipPremium,VipDuet,VipAssolo","
7,0Mbps832.0kbps
",Nazionale,"
Gen2014Giu2014
",Download,"5,8Mbps","1236,3","4,1Mbps","6,8Mbps",,646335
19,BritishTelecom,"BTADSL7Mega,VipPremium,VipDuet,VipAssolo","
7,0Mbps832.0kbps
",Nazionale,"
Gen2014Giu2014
",Ping,31ms,"15,6", ,"
55ms
",0%,323325
20,BritishTelecom,"BTADSL7Mega,VipPremium,VipDuet,VipAssolo","
7,0Mbps832.0kbps
",Nazionale,"
Gen2014Giu2014
",Upload,606.0kbps,"160,5",248.0kbps,781.0kbps,,645878
21,BritishTelecom,"VipClub7Mega,VipSmart7Mega,VipDuet,VipAssolo","
7,0Mbps1,0Mbps
",Nazionale,"
Gen2014Giu2014
",Download,"5,8Mbps","1186,9","4,0Mbps","6,8Mbps",,681635
