,Operatore,Profilo,Velocità (down/up),Territorio,Periodo,Tipo,Media,Dev. Std.,Min,Max,TP%,Misure,Anno
0,BritishTelecom,"BTADSL7Mega,VipPremium,VipDuet,VipAssolo","
7,0Mbps832.0kbps
",Piemonte,"
Gen2014Giu2014
",Download,"6,1Mbps","34,3","6,0Mbps","6,1Mbps",,40340,2014
1,BritishTelecom,"BTADSL7Mega,VipPremium,VipDuet,VipAssolo","
7,0Mbps832.0kbps
",Piemonte,"
Gen2014Giu2014
",Ping,15ms,"2,2", ,"
16ms
",0%,20170,2014
2,BritishTelecom,"BTADSL7Mega,VipPremium,VipDuet,VipAssolo","
7,0Mbps832.0kbps
",Piemonte,"
Gen2014Giu2014
",Upload,700.0kbps,"17,2",635.0kbps,705.0kbps,,40327,2014
3,BritishTelecom,"VipClub7Mega,VipSmart7Mega,VipDuet,VipAssolo","
7,0Mbps1,0Mbps
",Piemonte,"
Gen2014Giu2014
",Download,"5,9Mbps","68,5","5,8Mbps","6,0Mbps",,42096,2014
4,BritishTelecom,"VipClub7Mega,VipSmart7Mega,VipDuet,VipAssolo","
7,0Mbps1,0Mbps
",Piemonte,"
Gen2014Giu2014
",Ping,23ms,"1,6", ,"
24ms
",0%,21048,2014
5,BritishTelecom,"VipClub7Mega,VipSmart7Mega,VipDuet,VipAssolo","
7,0Mbps1,0Mbps
",Piemonte,"
Gen2014Giu2014
",Upload,214.0kbps,"7,1",215.0kbps,216.0kbps,,42089,2014
6,Eolo,None,"
7,0Mbps384.0kbps
",Piemonte,"
Gen2014Giu2014
",Download,"6,0Mbps","1059,8","4,0Mbps","6,8Mbps",,37320,2014
7,Eolo,None,"
7,0Mbps384.0kbps
",Piemonte,"
Gen2014Giu2014
",Ping,13ms,"2,5", ,"
17ms
",0%,18655,2014
8,Eolo,None,"
7,0Mbps384.0kbps
",Piemonte,"
Gen2014Giu2014
",Upload,378.0kbps,"7,1",377.0kbps,378.0kbps,,37320,2014
9,Eolo,Formula,"
7,0Mbps512.0kbps
",Piemonte,"
Gen2014Giu2014
",Download,"6,7Mbps","386,9","6,1Mbps","6,9Mbps",,28013,2014
